NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
Education,"Education, training, employment, and social services",Deductibility of student-loan interest,2000,,0,360,,Energy
Food & Agriculture,Agriculture,Deferral of gain on sale of farm refiners,2000,,10,0,,Health
Commerce,International affairs,Deferral of income from controlled foreign corporations,2000,,6200,0,,Commerce and housing
Commerce,Commerce and Housing,Deferral of income from installment sales,2000,Deferral of income from post-1987 installment sales,260,750,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,2000,,0,470,,Natural resources and environment
Transportation,Transportation,Deferral of tax on shipping companies,2000,,20,0,,Commerce and housing credit
Commerce,International affairs,Deferred taxes for financial firms on certain income earned overseas,2000,,1190,0,,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,2000,,0,4644,,Veterans benefits and services
Education,"Education, training, employment, and social services",Education Individual Retirement Accounts,2000,,0,20,,Veterans benefits and services
Education,"Education, training, employment, and social services",Employer provided child care exclusion,2000,Exclusion of employer provided child care,0,670,,Income security
Housing & Community,Community and regional development,"Empowerment zones, the DC enterprise zone, and renewal communities",2000,Empowerment zones and enterprise communities,80,230,,Income security
Energy & Environment,Energy,Enhanced oil recovery credit,2000,,280,30,,Social Security
Energy & Environment,Energy,Exception from passive loss limitation for working interests in oil and gas properties,2000,,0,20,,Social Security
Housing & Community,Commerce and Housing,"Exception from passive loss rules for $25,000 of rental loss",2000,,0,4720,,Income security
Housing & Community,Commerce and Housing,Exceptions from imputed interest rules,2000,,0,80,,Social Security
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,2000,,70,0,,Income security
Energy & Environment,Energy,"Excess of percentage over cost depletion, fuels",2000,,290,50,,Transportation
Energy & Environment,Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",2000,,250,20,,Income security
Transportation,Transportation,Exclusion for employer-provided transit passes,2000,,0,190,,Natural resources and environment
International affairs,National defense,Exclusion of benefits and allowances to armed forces personnel,2000,,0,2140,,"Education, training, employment, and social services"
International affairs,International affairs,Exclusion of certain allowances for Federal employees abroad,2000,,0,680,,Income security
Housing & Community,"Education, training, employment, and social services",Exclusion of certain foster care payments,2000,,0,550,,Income security
Energy & Environment,Energy,Exclusion of conservation subsidies provided by public utilities,2000,Exclusion from income of conservation subsidies provided by public utilities,0,90,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),2000,,0,680,,Commerce and housing
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,2000,,0,76530,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,2000,,0,240,,Natural resources and environment
Government,Veterans' benefits and services,Exclusion of GI bill benefits,2000,,0,80,,Income security
International affairs,International affairs,Exclusion of income earned abroad by US citizens,2000,,0,2500,,"Education, training, employment, and social services"
Commerce,International affairs,Exclusion of income of foreign sales corporations,2000,,3890,0,,Commerce and housing
Housing & Community,Community and regional development,"Exclusion of interest for airport, dock, and similar bonds",2000,,160,460,,General purpose fiscal assistance
Education,"Education, training, employment, and social services",Exclusion of interest on bonds for private nonprofit educational facilities,2000,,130,390,,Commerce and housing credit
Energy & Environment,Natural resources and environment,"Exclusion of interest on bonds for water, sewage, and hazardous waste facilities",2000,,100,300,,Commerce and housing credit
Energy & Environment,Energy,Exclusion of interest on energy facility bonds,2000,,20,70,,Community and Regional Development
Medicare & Health,Health,Exclusion of interest on hospital construction bonds,2000,,270,810,,
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,2000,,490,13460,,Energy
Housing & Community,Commerce and Housing,Exclusion of interest on owner-occupied mortgage subsidy bonds,2000,,200,590,,"Education, training, employment, and social services"
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,2000,,5730,16870,,Community and Regional Development
Housing & Community,Commerce and Housing,Exclusion of interest on rental housing bonds,2000,,40,120,,International affairs
Education,"Education, training, employment, and social services",Exclusion of interest on savings bonds redeemed to finance educational expenses,2000,,0,10,,International affairs
Commerce,Commerce and Housing,Exclusion of interest on small issue bonds,2000,,70,220,,GENERAL PURPOSE FISCAL ASSISTANCE
Education,"Education, training, employment, and social services",Exclusion of interest on student loan bonds,2000,,50,160,,Health
Veterans Benefits,Veterans' benefits and services,Exclusion of interest on veterans housing bonds,2000,,10,30,,"Education, training, employment, and social services"
Veterans Benefits,Income security,Exclusion of military disability pensions,2000,,0,120,,
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,2000,,0,200,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,2000,,0,1720,,Commerce and housing credit
